3,4,10,220,U,1,0
4,4,10,220,S,1,0,1,0,0,0
5,4,10,220,S,1,0,0,0,1,1
6,4,10,220,S,1,0,1,1,0,1
7,4,10,220,S,1,0,0,0,0,0
8,4,10,220,U,1,0
9,4,10,220,U,1,0
10,4,10,220,U,1,0
11,4,10,220,S,1,0,0,0,1,0
12,4,10,220,S,1,0,1,0,0,0
13,8,16,232,S,1,0,1,0,0,0,1,0,1,0
14,8,16,232,S,1,1015,0,1,0,0,1,1,1,1
15,8,16,232,U,1,1001
16,8,16,232,U,1,0
17,8,16,232,S,1,0,1,0,0,0,0,0,1,0
18,8,16,232,U,1,0
19,8,16,232,S,1,0,0,1,0,0,0,1,1,0
20,8,16,232,S,1,0,1,0,1,0,1,1,1,1
21,8,16,232,U,1,0
22,8,16,232,S,1,0,1,1,1,0,1,0,1,0
23,12,24,248,U,1,6047
24,12,24,248,U,1,7694
25,12,24,248,S,1,0,1,0,1,1,0,0,1,1,0,0,0,0
26,12,24,248,U,1,7733
27,12,24,248,U,1,5118
28,12,24,248,S,1,7369,1,0,1,0,1,0,0,0,0,1,1,1
29,12,24,248,U,1,9181
30,12,24,248,S,1,3373,0,0,1,1,0,1,1,1,1,1,1,0
31,12,24,248,U,1,7635
32,12,24,248,S,1,2209,1,0,1,0,1,0,1,0,0,0,1,0
33,16,32,264,S,1,122669,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1
34,16,32,264,S,1,96028,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1
35,16,32,264,U,1,83473
36,16,32,264,S,1,96687,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1
37,16,32,264,U,1,83794
38,16,32,264,U,1,119136
39,16,32,264,S,1,40304,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
40,16,32,264,U,1,120768
41,16,32,264,U,1,135209
42,16,32,264,U,1,137815
43,18,36,272,U,1,524750
44,18,36,272,U,1,366749
45,18,36,272,U,1,375138
46,18,36,272,U,1,417752
47,18,36,272,U,1,417338
48,18,36,272,S,1,49010,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
49,18,36,272,U,1,405200
50,18,36,272,S,1,1000,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
51,18,36,272,U,1,339610
52,18,36,272,U,1,350996
53,20,40,280,S,1,1072537,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1
54,20,40,280,U,1,1651364
55,20,40,280,U,1,1722977
56,20,40,280,U,1,1805985
57,20,40,280,U,1,1707849
58,20,40,280,S,1,726505,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0
59,20,40,280,U,1,1513649
60,20,40,280,S,1,268868,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
61,20,40,280,U,1,1947323
62,20,40,280,S,1,1193347,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
63,22,44,288,U,1,6458391
64,22,44,288,U,1,5436522
65,22,44,288,U,1,8060151
66,22,44,288,U,1,7761017
67,22,44,288,U,1,8815573
68,22,44,288,U,1,9152980
69,22,44,288,U,1,7925354
70,22,44,288,U,1,7084202
71,22,44,288,S,1,1046235,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0
72,22,44,288,U,1,7756071
73,24,48,296,U,1,31092426
74,24,48,296,S,1,25621831,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
75,24,48,296,U,1,37559225
76,24,48,296,U,1,29403805
